id_str,from_user,text,Hashtags,Target,time
514687345447416000,Pepine,RT @mingarao: #websem14 on peut interroger ?sujet ?predicat et/ou ?objet. On peut découvrir la structure au fur et à mesure car elle est DA…, #websem14 ,@mingarao,24/09/2014 09:06:40
514685533554225000,mingarao,"RT @seeksanusername: Avant de reprendre le #jour3, retour sur le #jour2 en #tweets (- de volume mais + de comptes mentionnées) #websem14 ht…", #jour3 #jour2 #tweets #websem14 ,@seeksanusername,24/09/2014 08:59:28
514684662669926000,mingarao,#websem14 règle d'écriture : mettre un point à la fin du triplet. Et c'est tout.,#websem14 ,,24/09/2014 08:56:00
514683977417101000,mingarao,#websem14 on peut interroger ?sujet ?predicat et/ou ?objet. On peut découvrir la structure au fur et à mesure car elle est DANS les données,#websem14 ,,24/09/2014 08:53:17
514682610875105000,seeksanusername,SPARQL: Parcourir un graphe avec des inconnues #websem14, #websem14,,24/09/2014 08:47:51
514682335372263000,mingarao,#websem14 #sparql : parcours de graphe avec des inconnues... et c'est tout :),#websem14 #sparql ,,24/09/2014 08:46:45
514682012704444000,spouyllau,"Ex. de profil FOAF (le mien, fait avec le grand maitre zen-rdf @lespetitescases) http://t.co/sdgv4LC9Tb #websem14", #websem14,@lespetitescases,24/09/2014 08:45:28
514681174938386000,mingarao,#websem14 ... mais aussi demander son triple-store à @Huma_Num dans le cadre des paillasses numériques pour tester en vrai :),#websem14 ,@Huma_Num,24/09/2014 08:42:09
514680629313937000,mingarao,"#websem14 conseils du matin : jouer avec des sparql endpoints (#dbpedia #nakala etc.), faire son propre FOAF, qqs formations urfist",#websem14 #dbpedia #nakala ,,24/09/2014 08:39:58
514680513211421000,spouyllau,"A lire, le Web sémantique en bibliothèque, http://t.co/JggEXLNYp7 #websem14", #websem14,,24/09/2014 08:39:31
514680145912025000,spouyllau,"A découvrir, http://t.co/qsJwN0gl8l avec @fabien_gandon #websem14", #websem14,@fabien_gandon,24/09/2014 08:38:03
514679968862065000,juhannoun,RT @emma_morlock: RT @HumanisticaDH: Les adhésions à Humanistica sont ouvertes: http://t.co/i3DMy9Nnrp Rejoignez cette aventure ! #pub #web…, #pub #web…,@emma_morlock @HumanisticaDH,24/09/2014 08:37:21
514679903070208000,mingarao,"RT @spouyllau: Formation websem, jour 3, #websem14 #sparql ... http://t.co/rKH1OtBSsK", #websem14 #sparql ,@spouyllau,24/09/2014 08:37:05
